iter	Passed	Remaining
0	47	47748
1	48	24173
2	49	16364
3	51	12883
4	55	11087
5	56	9326
6	57	8087
7	57	7166
8	58	6454
9	65	6526
10	66	5989
11	67	5537
12	67	5151
13	68	4821
14	69	4535
15	69	4283
16	70	4063
17	72	3970
18	73	3787
19	73	3623
20	74	3474
21	75	3371
22	76	3255
23	77	3140
24	79	3092
25	79	2993
26	80	2900
27	81	2813
28	81	2731
29	82	2654
30	82	2582
31	83	2515
32	83	2452
33	84	2393
34	84	2336
35	85	2283
36	85	2232
37	86	2184
38	86	2139
39	87	2096
40	87	2055
41	88	2016
42	89	1985
43	89	1951
44	90	1919
45	91	1887
46	91	1856
47	92	1826
48	92	1797
49	93	1771
50	93	1744
51	94	1719
52	94	1694
53	95	1671
54	95	1648
55	96	1627
56	97	1605
57	97	1584
58	98	1564
59	98	1545
60	99	1526
61	99	1508
62	100	1490
63	100	1473
64	101	1456
65	101	1440
66	102	1424
67	102	1409
68	103	1394
69	104	1382
70	104	1370
71	105	1356
72	105	1343
73	106	1330
74	106	1317
75	107	1305
76	107	1293
77	108	1281
78	108	1270
79	109	1258
80	109	1247
81	110	1236
82	110	1223
83	111	1213
84	111	1203
85	112	1193
86	112	1183
87	113	1174
88	113	1165
89	114	1156
90	114	1147
91	115	1139
92	115	1130
93	116	1122
94	116	1114
95	117	1106
96	117	1098
97	118	1090
98	119	1083
99	119	1075
100	120	1068
101	120	1061
102	121	1054
103	121	1047
104	122	1041
105	122	1034
106	123	1028
107	123	1021
108	124	1015
109	124	1009
110	125	1003
111	125	997
112	126	991
113	126	985
114	127	980
115	127	974
116	128	967
117	128	962
118	129	957
119	129	952
120	130	946
121	130	940
122	131	935
123	131	930
124	132	926
125	132	921
126	133	915
127	133	911
128	134	906
129	134	903
130	135	898
131	135	894
132	136	889
133	136	885
134	137	881
135	138	876
136	138	873
137	139	869
138	139	865
139	140	862
140	141	859
141	141	854
142	141	850
143	142	846
144	142	842
145	143	839
146	143	835
147	144	832
148	146	837
149	149	845
150	153	861
151	155	867
152	156	865
153	157	863
154	157	861
155	158	859
156	159	857
157	160	855
158	161	851
159	161	847
160	161	843
161	162	839
162	162	836
163	163	832
164	163	829
165	165	832
166	166	829
167	166	826
168	167	823
169	168	820
170	168	817
171	169	815
172	169	812
173	170	809
174	171	806
175	171	803
176	174	810
177	176	815
178	177	812
179	177	809
180	178	806
181	178	803
182	179	803
183	180	802
184	181	801
185	182	800
186	184	800
187	185	799
188	186	798
189	187	797
190	188	797
191	189	796
192	190	796
193	191	795
194	192	794
195	193	793
196	194	793
197	195	792
198	196	791
199	197	790
200	198	789
201	200	793
202	201	790
203	201	787
204	202	784
205	202	781
206	203	779
207	203	776
208	204	773
209	204	770
210	207	775
211	208	773
212	208	770
213	209	770
214	210	768
215	210	765
216	211	763
217	212	760
218	212	758
219	213	755
220	213	753
221	214	752
222	215	752
223	216	751
224	218	750
225	218	748
226	219	746
227	219	744
228	221	745
229	222	743
230	222	741
231	223	739
232	223	737
233	224	734
234	225	734
235	226	732
236	226	730
237	227	728
238	228	726
239	228	723
240	229	721
241	229	719
242	230	717
243	230	715
244	231	713
245	231	710
246	232	708
247	233	706
248	233	704
249	234	702
250	234	700
251	235	698
252	235	696
253	237	696
254	238	696
255	239	695
256	240	695
257	241	694
258	242	694
259	243	693
260	244	692
261	245	692
262	246	691
263	247	691
264	248	690
265	250	689
266	250	689
267	251	688
268	252	687
269	253	685
270	254	683
271	254	681
272	255	679
273	255	677
274	256	675
275	256	673
276	257	671
277	257	669
278	258	667
279	258	665
280	259	664
281	260	662
282	260	660
283	261	658
284	261	656
285	262	655
286	263	654
287	264	653
288	264	651
