iter	Passed	Remaining
0	50	50937
1	51	25810
2	52	17366
3	52	13128
4	53	10588
5	53	8886
6	54	7678
7	54	6802
8	56	6234
9	57	5673
10	57	5210
11	58	4817
12	59	4491
13	59	4208
14	60	3953
15	60	3729
16	61	3533
17	61	3359
18	62	3201
19	62	3058
20	62	2930
21	63	2814
22	63	2708
23	64	2611
24	64	2523
25	65	2443
26	65	2368
27	68	2382
28	69	2324
29	70	2264
30	70	2207
31	71	2161
32	72	2127
33	73	2078
34	75	2072
35	76	2045
36	77	2012
37	78	1986
38	79	1954
39	80	1924
40	82	1937
41	84	1922
42	85	1906
43	86	1889
44	88	1867
45	88	1835
46	88	1804
47	89	1774
48	91	1766
49	91	1739
50	92	1712
51	92	1688
52	93	1664
53	93	1641
54	94	1619
55	94	1597
56	95	1576
57	95	1555
58	96	1544
59	98	1539
60	98	1521
61	99	1502
62	99	1484
63	100	1467
64	100	1451
65	102	1457
66	104	1454
67	105	1442
68	105	1428
69	107	1426
70	107	1411
71	108	1396
72	108	1382
73	109	1369
74	109	1355
75	110	1342
76	114	1373
77	115	1366
78	116	1356
79	117	1345
80	117	1335
81	118	1324
82	118	1310
83	119	1300
84	122	1315
85	122	1304
86	123	1292
87	123	1281
88	124	1271
89	124	1261
90	125	1250
91	125	1240
92	126	1230
93	129	1244
94	129	1235
95	130	1226
96	131	1221
97	131	1213
98	132	1204
99	132	1196
100	133	1188
101	134	1180
102	136	1190
103	137	1181
104	137	1173
105	138	1165
106	138	1157
107	140	1163
108	141	1155
109	142	1155
110	148	1189
111	149	1182
112	150	1184
113	152	1181
114	153	1178
115	153	1173
116	154	1167
117	155	1164
118	156	1160
119	159	1168
120	160	1166
121	163	1173
122	164	1174
123	165	1171
124	167	1170
125	168	1168
126	169	1163
127	170	1160
128	171	1161
129	177	1185
130	177	1177
131	178	1170
132	178	1163
133	179	1157
134	180	1158
135	181	1152
136	183	1157
137	184	1150
138	184	1143
139	185	1137
140	185	1130
141	185	1123
142	186	1117
143	187	1114
144	188	1110
145	189	1107
146	190	1103
147	201	1161
148	202	1155
149	205	1164
150	206	1159
151	208	1163
152	210	1166
153	211	1161
154	213	1161
155	213	1155
156	214	1153
157	215	1150
158	217	1147
159	218	1145
160	218	1138
161	219	1137
162	221	1138
163	223	1138
164	224	1137
165	225	1132
166	225	1127
167	228	1132
168	229	1126
169	230	1123
170	231	1120
171	231	1114
172	231	1108
173	232	1103
174	232	1097
175	233	1092
176	233	1086
177	234	1081
178	234	1076
179	236	1075
180	236	1070
181	237	1066
182	238	1064
183	239	1060
184	239	1055
185	239	1050
186	240	1045
187	240	1040
188	241	1036
189	241	1031
190	242	1026
191	242	1022
192	243	1018
193	244	1016
194	245	1012
195	245	1007
196	246	1003
197	246	999
198	247	994
199	247	990
200	247	985
201	250	989
202	251	986
203	253	988
204	253	983
205	254	979
206	254	976
207	255	972
208	255	968
209	256	964
210	256	960
211	257	956
212	260	961
213	260	956
214	260	952
215	261	948
216	261	945
217	262	941
218	266	949
219	267	946
220	267	944
221	268	940
222	268	936
223	269	933
224	269	929
225	270	926
226	271	922
227	271	919
228	271	915
229	272	911
230	272	908
231	273	904
232	273	900
233	274	897
234	274	893
235	275	890
236	275	886
237	275	883
238	276	879
239	276	876
240	277	873
241	277	869
242	278	866
243	280	868
244	281	865
245	281	862
246	281	859
247	282	857
248	287	867
249	288	864
250	288	861
251	289	858
252	289	855
253	290	851
254	290	848
255	290	845
256	291	842
257	291	838
258	292	835
259	292	832
260	292	829
261	293	826
262	295	827
263	296	825
264	297	824
265	298	822
266	298	820
267	299	817
268	299	814
269	300	812
270	300	809
271	301	806
272	301	803
273	302	801
274	302	798
275	303	796
276	304	793
277	304	791
278	305	788
279	305	785
280	306	783
281	306	780
282	306	777
283	307	774
284	307	772
285	308	769
286	308	766
287	309	764
288	310	763
289	314	770
290	315	767
291	315	764
292	315	762
293	316	759
294	316	757
295	317	754
296	317	752
297	318	749
298	318	747
299	319	744
300	319	742
301	320	740
302	320	737
303	321	735
304	321	732
305	322	730
306	322	728
307	323	726
308	323	723
309	324	721
310	325	721
311	326	719
312	328	721
313	329	719
314	329	717
315	330	715
316	330	712
317	331	711
318	332	709
319	333	708
320	334	706
321	334	704
322	335	702
323	336	702
324	337	700
325	337	698
326	338	695
327	338	693
328	339	691
329	339	689
330	342	692
331	343	691
332	344	689
333	344	687
334	346	687
335	346	685
336	347	682
337	347	680
338	348	678
339	348	676
340	349	674
341	349	672
342	349	670
343	350	668
344	350	666
345	351	664
346	351	661
347	352	659
348	352	657
349	353	655
350	353	653
351	354	651
352	354	649
353	356	650
354	358	651
355	358	649
356	359	647
357	361	647
358	361	645
359	362	643
360	362	641
361	363	639
362	363	637
363	363	635
364	364	633
365	366	634
366	366	632
367	366	630
368	367	628
369	367	626
370	368	624
371	368	622
372	369	620
373	369	618
374	370	616
375	370	615
376	371	614
377	372	612
378	373	612
379	374	611
380	375	609
381	375	608
382	376	606
383	376	604
384	377	602
385	377	600
386	378	599
387	378	597
388	379	595
389	379	593
390	380	591
391	380	590
392	380	588
393	381	586
394	381	584
395	382	583
396	382	581
397	383	579
398	383	577
399	384	576
400	384	574
401	384	572
402	385	570
403	386	569
404	387	568
405	388	568
406	388	566
407	389	565
408	390	563
409	390	562
410	393	563
411	393	562
412	394	560
413	394	558
414	395	557
415	395	555
416	396	553
417	396	552
418	397	550
419	398	550
420	399	548
421	399	547
422	400	545
423	402	546
424	407	551
425	408	549
426	408	548
427	409	546
428	409	545
429	410	543
430	410	542
431	411	540
432	411	539
433	412	537
434	412	536
435	413	534
436	413	533
437	414	531
438	414	530
439	416	530
440	417	528
441	417	527
442	418	526
443	419	525
444	419	523
445	420	522
446	421	520
447	421	519
448	422	517
449	422	516
450	422	514
451	423	513
452	423	511
453	424	510
454	424	508
455	425	507
456	425	505
457	425	504
458	426	502
459	426	501
460	427	499
461	427	498
462	428	496
463	428	495
464	428	493
465	429	492
466	429	490
467	430	489
468	430	487
469	431	486
470	431	484
471	432	483
472	432	482
473	433	480
474	433	479
475	434	477
476	434	476
477	435	475
478	435	473
479	435	472
480	436	470
481	436	469
482	437	468
483	437	466
484	438	465
485	438	463
486	439	462
487	439	461
488	439	459
489	440	458
490	440	457
491	441	455
492	441	454
493	442	453
494	442	451
495	443	450
496	443	448
497	443	447
498	444	446
499	444	444
500	445	443
501	445	442
502	446	440
503	446	439
504	447	438
505	447	436
506	448	435
507	448	434
508	449	433
509	449	431
510	449	430
511	450	429
512	451	428
513	451	426
514	451	425
515	452	424
516	452	423
517	453	421
518	453	420
519	454	419
520	454	417
521	455	416
522	455	415
523	455	414
524	456	412
525	456	411
526	457	410
527	457	409
528	458	407
529	458	406
530	458	405
531	459	404
532	459	402
533	460	401
534	460	400
535	461	399
536	461	398
537	462	396
538	462	395
539	463	394
540	463	393
541	464	392
542	464	391
543	465	389
544	465	388
545	466	387
546	466	386
547	467	385
548	467	384
549	467	382
550	468	381
551	468	380
552	469	379
553	469	378
554	470	376
555	470	375
556	470	374
557	471	373
558	471	372
559	472	371
560	472	369
561	473	368
562	473	367
563	474	366
564	474	365
565	474	364
566	475	363
567	475	361
568	476	360
569	476	359
570	477	358
571	477	357
572	478	356
573	478	355
574	479	354
575	479	353
576	480	352
577	480	350
578	481	349
579	481	348
580	482	347
581	482	346
582	483	345
583	484	345
584	485	344
585	485	343
586	486	342
587	488	342
588	488	341
589	489	339
590	489	338
591	490	337
592	490	336
593	491	335
594	491	334
595	491	333
596	492	332
597	492	331
598	493	330
599	493	329
600	494	328
601	494	327
602	495	326
603	495	324
604	496	323
605	496	322
606	496	321
607	497	320
608	497	319
609	498	318
610	498	317
611	499	316
612	499	315
613	499	314
614	500	313
615	500	312
616	501	311
617	501	310
618	502	309
619	502	308
620	502	306
621	503	305
622	504	305
623	504	304
624	505	303
625	506	302
626	507	301
627	508	301
628	508	300
629	509	299
630	510	298
631	510	297
632	511	296
633	511	295
634	512	294
635	513	293
636	515	293
637	516	292
638	516	292
639	517	291
640	518	290
641	519	289
642	523	290
643	525	290
644	530	292
645	531	291
646	532	290
647	533	289
648	534	289
649	535	288
650	536	287
